class	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.0135	0.012375	0.0095	0.015125	0.0145	0.022875	0.025	0.027	0.00875	0.004125	0.024875	0.004125	0.016	0.003375	0.008	0.01275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0	0.00075	0.000125	0.00025	0.000125	0.00125	0	0	0.00025	0.0005	0.001	0	0	0.000375	0.000125	0.000125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus]	0.0015	0.005	0.002875	0.003	0.009125	0.00575	0.004625	0.004	0.001625	0.002625	0.00525	0.002	0.006625	0.014375	0.0035	0.002875
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	0.000125	0.000375	0	0	0.00025	0.000375	0.00025	0.00025	0.000125	0.00025	0.00025	0	0	0	0	0.000125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__rc4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|Other	0.0115	0.01025	0.0085	0.006375	0.0055	0.016875	0.020625	0.008	0.00475	0.002375	0.011375	0.00625	0.01025	0.01275	0.00625	0.003125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__	0.022375	0.02225	0.014375	0.01675	0.021125	0.025125	0.027125	0.01975	0.011875	0.015375	0.01725	0.009875	0.026875	0.028	0.018625	0.02225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira	0.03	0.045	0.038375	0.030375	0.043125	0.035875	0.048875	0.036125	0.014125	0.013125	0.021875	0.020125	0.031	0.03575	0.016375	0.02225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.007375	0.036875	0.02175	0.0095	0.00625	0.0085	0.006625	0.00675	0.009875	0.006625	0.01425	0.008125	0.01775	0.013125	0.011875	0.0115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125
